2020-05-27,5.000000000011479
2020-05-28,1.0000000000030207
2020-05-29,1.000000000004115
2020-05-30,1.1817213874110166e-12
2020-05-31,1.0000000000039586
2020-06-01,2.0000000000088245
2020-06-02,1.0000000000046834
2020-06-03,1.0000000000034044
2020-06-04,7.000000000006656
2020-06-05,99.74608952277283
2020-06-06,664.7227186575661
2020-06-07,18465.11408895627
2020-06-08,403157.5541862949
2020-06-09,4105353.743677348
2020-06-10,65807246.45809882
2020-06-11,4428062246.5159445
2020-06-12,984439187670.9224
2020-06-13,120516914296939.14
2020-06-14,6.4995162623440056e+16
2020-06-15,2.8952712585775956e+19
2020-06-16,6.312899785390618e+21
2020-06-17,2.273912347837322e+24
2020-06-18,3.608215484442191e+27
2020-06-19,1.985195861837046e+31
2020-06-20,6.311827998076354e+34
2020-06-21,9.277646818652023e+38
2020-06-22,1.1820957994401594e+43
2020-06-23,7.736702351888246e+46
2020-06-24,8.77851908059705e+50
2020-06-25,4.6048714610272054e+55
