2020-05-27,6.999999999996055
2020-05-28,1.9999999999963332
2020-05-29,0.9999999999981677
2020-05-30,0.9999999999972369
2020-05-31,0.9999999999979758
2020-06-01,1.9999999999999356
2020-06-02,1.9999999999980917
2020-06-03,1.9999999999970899
2020-06-04,6.999999999988921
2020-06-05,38.399892845176566
2020-06-06,301.37800798376463
2020-06-07,2409.816808821407
2020-06-08,29951.17243120502
2020-06-09,257726.0678496992
2020-06-10,2303829.834724291
2020-06-11,57051716.21500203
2020-06-12,2710703550.652029
2020-06-13,208499147779.94452
2020-06-14,17307894526758.773
2020-06-15,2325911313943744.5
2020-06-16,2.248891483876879e+17
2020-06-17,2.346721460360483e+19
2020-06-18,7.047596295826659e+21
2020-06-19,4.2186598549715933e+24
2020-06-20,4.246936871181129e+27
2020-06-21,4.79351008393783e+30
2020-06-22,9.099117827096705e+33
2020-06-23,1.2910118184416853e+37
2020-06-24,2.053703256398333e+40
2020-06-25,9.767657940324235e+43
