2020-05-27,2.999999999999324
2020-05-28,-8.690825836765725e-13
2020-05-29,6.9999999999982645
2020-05-30,0.9999999999973277
2020-05-31,0.9999999999981946
2020-06-01,0.9999999999999993
2020-06-02,1.9999999999983875
2020-06-03,-2.1538326677728037e-13
2020-06-04,0.9999999999976688
2020-06-05,132.29056545318915
2020-06-06,288.0735044343392
2020-06-07,2610.35909268916
2020-06-08,24563.862998795186
2020-06-09,360945.4675974318
2020-06-10,1227291.7605927568
2020-06-11,26073193.24035302
2020-06-12,19220698546.66296
2020-06-13,480145649137.2917
2020-06-14,52025432705915.15
2020-06-15,6112759166830679.0
2020-06-16,1.168231764569657e+18
2020-06-17,5.380059805334556e+19
2020-06-18,1.6120381959602564e+22
2020-06-19,1.745347277060357e+26
2020-06-20,6.668170893845106e+28
2020-06-21,1.1506941460699972e+32
2020-06-22,2.2422364489583386e+35
2020-06-23,7.400524376866985e+38
2020-06-24,6.1291378243750584e+41
2020-06-25,3.4391875002517636e+45
