,county,state,count
0,Abbeville,South Carolina,78
1,Acadia,Louisiana,75
2,Accomack,Virginia,77
3,Ada,Idaho,84
4,Adair,Iowa,80
5,Adair,Kentucky,61
6,Adair,Missouri,74
7,Adair,Oklahoma,72
8,Adams,Colorado,85
9,Adams,Idaho,66
10,Adams,Illinois,77
11,Adams,Indiana,87
12,Adams,Iowa,19
13,Adams,Mississippi,77
14,Adams,Nebraska,79
15,Adams,Ohio,62
16,Adams,Pennsylvania,79
17,Adams,Washington,74
18,Adams,Wisconsin,64
19,Addison,Vermont,77
20,Aiken,South Carolina,77
21,Aitkin,Minnesota,49
22,Alachua,Florida,87
23,Alamance,North Carolina,74
24,Alameda,California,96
25,Alamosa,Colorado,70
26,Albany,New York,85
27,Albany,Wyoming,72
28,Albemarle,Virginia,76
29,Alcona,Michigan,51
30,Alcorn,Mississippi,67
31,Aleutians West Census Area,Alaska,1
32,Alexander,Illinois,50
33,Alexander,North Carolina,67
34,Alexandria city,Virginia,85
35,Alfalfa,Oklahoma,53
36,Allamakee,Iowa,82
37,Allegan,Michigan,76
38,Allegany,Maryland,64
39,Allegany,New York,81
40,Alleghany,North Carolina,68
41,Alleghany,Virginia,68
42,Allegheny,Pennsylvania,83
43,Allen,Indiana,77
44,Allen,Kentucky,75
45,Allen,Louisiana,74
46,Allen,Ohio,69
47,Allendale,South Carolina,65
48,Alpena,Michigan,55
49,Alpine,California,67
50,Amador,California,77
51,Amelia,Virginia,71
52,Amherst,Virginia,75
53,Amite,Mississippi,69
54,Anchorage,Alaska,85
55,Anderson,Kansas,27
56,Anderson,Kentucky,76
57,Anderson,South Carolina,82
58,Anderson,Tennessee,77
59,Anderson,Texas,65
60,Andrew,Missouri,55
61,Andrews,Texas,62
62,Androscoggin,Maine,85
63,Angelina,Texas,71
64,Anne Arundel,Maryland,84
65,Anoka,Minnesota,87
66,Anson,North Carolina,66
67,Antelope,Nebraska,67
68,Antrim,Michigan,67
69,Apache,Arizona,76
70,Appanoose,Iowa,71
71,Appling,Georgia,67
72,Appomattox,Virginia,60
73,Aransas,Texas,61
74,Arapahoe,Colorado,88
75,Archer,Texas,21
76,Archuleta,Colorado,67
77,Arenac,Michigan,66
78,Arkansas,Arkansas,68
79,Arlington,Virginia,86
80,Armstrong,Pennsylvania,73
81,Armstrong,Texas,52
82,Aroostook,Maine,63
83,Ascension,Louisiana,81
84,Ashe,North Carolina,62
85,Ashland,Ohio,79
86,Ashland,Wisconsin,66
87,Ashley,Arkansas,68
88,Ashtabula,Ohio,77
89,Asotin,Washington,63
90,Assumption,Louisiana,78
91,Atascosa,Texas,72
92,Atchison,Kansas,67
93,Atchison,Missouri,70
94,Athens,Ohio,71
95,Atkinson,Georgia,60
96,Atlantic,New Jersey,79
97,Atoka,Oklahoma,64
98,Attala,Mississippi,76
99,Audrain,Missouri,47
100,Audubon,Iowa,67
101,Auglaize,Ohio,69
102,Augusta,Virginia,65
103,Aurora,South Dakota,70
104,Austin,Texas,72
105,Autauga,Alabama,73
106,Avery,North Carolina,17
107,Avoyelles,Louisiana,76
108,Baca,Colorado,69
109,Bacon,Georgia,68
110,Bailey,Texas,31
111,Baker,Florida,82
112,Baker,Georgia,73
113,Baker,Oregon,30
114,Baldwin,Alabama,83
115,Baldwin,Georgia,76
116,Ballard,Kentucky,58
117,Baltimore,Maryland,86
118,Baltimore city,Maryland,82
119,Bamberg,South Carolina,66
120,Bandera,Texas,57
121,Banks,Georgia,67
122,Bannock,Idaho,73
123,Baraga,Michigan,50
124,Barber,Kansas,59
125,Barbour,Alabama,63
